baseline,arm,variable,level,lead,spread,spread_rms,crps,n_inits
aurora,weight,specific_humidity,850,6,7.2624477e-05,8.5130588e-05,0.00018440296,112
aurora,ic,specific_humidity,850,6,0.0004292111,0.00059152576,0.00038935278,112
aurora,weight+ic,specific_humidity,850,6,0.00043726948,0.00059609118,0.00038753771,112
aurora,weight,specific_humidity,850,24,0.00024608129,0.0002991401,0.00040753411,112
aurora,ic,specific_humidity,850,24,0.0004169805,0.00058246532,0.00045047331,112
aurora,weight+ic,specific_humidity,850,24,0.00048673362,0.00063626308,0.00043565472,112
aurora,weight,specific_humidity,850,72,0.00070090932,0.00088140364,0.00058993584,112
aurora,ic,specific_humidity,850,72,0.0005883329,0.00081361838,0.0006467328,112
aurora,weight+ic,specific_humidity,850,72,0.00084390178,0.0010507448,0.00058801241,112
aurora,weight,specific_humidity,850,120,0.0010665944,0.0012931246,0.00071536747,112
